Time (sec),Data
1,0.41
2,0.36
3,0.36
4,0.31
5,0.31
6,0.25
7,0.26
8,0.26
9,0.25
10,0.27
11,0.23
12,0.24
13,0.23
14,0.26
15,0.21
16,0.22
17,0.24
18,0.26
19,0.22
20,0.25
21,0.21
22,0.21
23,0.23
24,0.22
25,0.24
26,0.23
27,0.21
28,0.23
29,0.22
30,0.21
31,0.2
32,0.24
33,0.21
34,0.22
35,0.21
36,0.24
37,0.22
38,0.21
39,0.21
40,0.22
41,0.19
42,0.21
43,0.2
44,0.23
45,0.2
46,0.22
47,0.22
48,0.18
49,0.2
50,0.22
51,0.17
52,0.17
53,0.16
54,0.21
55,0.19
56,0.18
57,0.17
58,0.19
59,0.16
60,0.22
61,0.16
62,0.22
63,0.17
64,0.18
65,0.2
66,0.15
67,0.17
68,0.15
69,0.19
70,0.17
71,0.18
72,0.2
73,0.17
74,0.17
75,0.19
76,0.17
77,0.17
78,0.17
79,0.18
80,0.18
81,0.14
82,0.16
83,0.15
84,0.15
85,0.16
86,0.17
87,0.15
88,0.17
89,0.15
90,0.17
91,0.14
92,0.18
93,0.16
94,0.13
95,0.16
96,0.18
97,0.15
98,0.18
99,0.15
100,0.16
101,0.15
102,0.16
103,0.16
104,0.15
105,0.14
106,0.13
107,0.16
108,0.13
109,0.13
110,0.13
111,0.11
112,0.14
113,0.15
114,0.13
115,0.13
116,0.13
117,0.12
118,0.11
119,0.12
120,0.13
121,0.11
122,0.12
123,0.15
124,0.12
125,0.12
126,0.11
127,0.1
128,0.11
129,0.13
130,0.15
131,0.1
132,0.1
133,0.11
134,0.1
135,0.09
136,0.12
137,0.09
138,0.1
139,0.11
140,0.09
141,0.1
142,0.11
143,0.1
144,0.11
145,0.11
146,0.1
147,0.09
148,0.11
149,0.09
150,0.1
151,0.1
152,0.1
153,0.09
154,0.09
155,0.11
156,0.08
157,0.11
158,0.09
159,0.08
160,0.08
161,0.09
162,0.08
163,0.1
164,0.07
165,0.06
166,0.06
167,0.07
168,0.08
169,0.09
170,0.07
171,0.08
172,0.08
173,0.1
174,0.08
175,0.08
176,0.07
177,0.08
178,0.08
179,0.08
180,0.08
181,0.08
182,0.07
183,0.07
184,0.07
185,0.07
186,0.06
187,0.09
188,0.07
189,0.07
190,0.08
191,0.06
192,0.08
193,0.06
194,0.06
195,0.08
196,0.06
197,0.06
198,0.06
199,0.06
200,0.05
201,0.07
202,0.05
203,0.07
204,0.06
205,0.06
206,0.06
207,0.06
208,0.07
209,0.07
210,0.06
211,0.05
212,0.06
213,0.06
214,0.06
215,0.06
216,0.07
217,0.06
218,0.06
219,0.06
220,0.05
221,0.05
222,0.05
223,0.06
224,0.05
225,0.05
226,0.05
227,0.04
228,0.06
229,0.05
230,0.05
231,0.05
232,0.05
233,0.05
234,0.04
235,0.04
236,0.06
237,0.06
238,0.06
239,0.05
240,0.06
241,0.05
242,0.04
243,0.05
244,0.05
245,0.05
246,0.05
