Time (sec),Data
1,0.85
2,0.94
3,0.95
4,0.92
5,0.98
6,0.98
7,0.91
8,0.95
9,0.92
10,0.99
11,0.88
12,0.99
13,0.93
14,0.9
15,1
16,0.93
17,0.94
18,0.92
19,0.99
20,1
21,0.98
22,0.96
23,1
24,0.95
25,0.86
26,0.91
27,1
28,1
29,0.92
30,0.89
31,0.94
32,0.95
33,0.93
34,0.99
35,1
36,0.97
37,0.99
38,0.95
39,0.98
40,0.99
41,0.88
42,0.97
43,1
44,0.97
45,0.97
46,0.98
47,0.99
48,1
49,0.92
50,0.95
51,0.9
52,0.99
53,1
54,0.99
55,0.98
56,0.97
57,0.9
58,0.93
59,0.94
60,0.94
61,0.96
62,0.88
63,1
64,0.95
65,0.9
66,0.84
67,0.98
68,0.97
69,0.98
70,1
71,0.98
72,0.95
73,0.95
74,0.93
75,1
76,0.94
77,0.94
78,0.93
79,1
80,0.97
81,0.99
82,0.98
83,0.96
84,1
85,0.97
86,0.94
87,0.96
88,1
89,0.96
90,0.97
91,0.99
92,0.97
93,0.98
94,0.99
95,1
96,0.87
97,0.97
98,0.94
99,0.96
100,0.99
101,1
102,0.9
103,0.93
104,0.93
105,0.92
106,0.98
107,0.97
108,1
109,0.96
110,1
111,0.97
112,0.95
113,1
114,1
115,0.97
116,1
117,0.96
118,0.92
119,0.89
120,1
121,0.95
122,1
123,0.99
124,1
125,0.98
126,0.93
127,0.99
128,0.97
129,0.96
130,0.9
131,1
132,1
133,1
134,0.99
135,1
136,0.99
137,0.99
138,0.94
139,0.98
140,0.99
141,0.98
142,0.92
143,1
144,0.97
145,0.98
146,1
147,1
148,0.95
149,0.99
150,0.89
151,0.98
152,0.97
153,1
154,0.98
155,0.96
156,1
157,0.99
158,1
159,1
160,1
161,0.97
162,1
163,1
164,1
165,1
166,0.98
167,1
168,1
169,1
170,0.98
171,0.98
172,1
173,0.99
174,1
175,0.99
176,0.99
177,1
178,0.94
179,0.89
180,0.99
181,1
182,0.96
183,1
184,1
185,0.98
186,1
187,0.97
188,0.99
189,0.97
190,0.99
191,0.95
192,1
193,1
194,0.99
