time,cost
1,0.849647246
2,0.927879741
3,0.946112032
4,0.915561169
5,0.919359644
6,0.946858474
7,0.900348215
8,0.957037109
9,0.902343016
10,0.952203388
11,0.952233815
12,0.966366199
13,0.926392113
14,0.893729044
15,0.911368653
16,0.899756091
17,0.959905383
18,0.904080168
19,0.886283659
20,0.906255649
21,0.893884588
22,0.818978901
23,0.907740689
24,0.963026941
25,0.909694878
26,0.882587379
27,0.909221824
28,0.966295608
29,0.896194438
30,0.874838963
31,0.90989325
32,0.935787872
33,0.905474886
34,0.940819555
35,0.949179026
36,0.949694301
37,0.96642652
38,0.927178549
39,0.924297071
40,0.962116774
41,0.936896385
42,0.896662461
43,0.972349353
44,0.928427652
45,0.921794819
46,0.957929876
47,0.973129544
48,0.963115879
49,0.932331763
50,0.90003212
51,0.891632916
52,0.985837252
53,0.963217664
54,0.965979627
55,0.945626571
56,0.968836003
57,0.914921059
58,0.941370268
59,0.952692803
60,0.957460571
61,0.966462011
62,0.918118004
63,0.986348351
64,0.938989673
65,0.898125814
66,0.841923609
67,0.958581781
68,0.967957575
69,0.99922975
70,0.966192833
71,0.89959486
72,0.913784705
73,0.940101238
74,0.924126203
75,0.957138713
76,0.947003243
77,0.964403147
78,0.867836936
79,0.990948995
80,0.977244636
81,0.951750115
82,0.928179861
83,1.000000006
84,0.966583777
85,0.986431238
86,0.961977073
87,0.916590941
88,0.968622212
89,0.910045325
90,0.981552008
91,0.99640718
92,0.983237277
93,0.941732282
94,0.98453277
95,0.973398974
96,0.919771385
97,0.978629936
98,0.926458908
99,0.94333869
100,0.931369519
101,0.989847725
102,0.983596203
103,0.976081654
104,0.953212619
105,0.896753574
106,0.94108058
107,1
108,0.961196036
109,0.951119133
110,0.949996542
111,0.920236499
112,0.999999928
113,0.950565891
114,0.980066596
115,0.921095368
116,0.98345737
117,0.974194267
118,0.89678154
119,0.988523719
120,0.948079941
121,0.901485663
122,0.972242506
123,0.976662409
124,0.988638356
125,0.988965831
126,0.934842775
127,0.964236143
128,0.976098308
129,0.936717775
130,0.92542413
131,0.930485202
132,0.994060633
133,1
134,0.993323364
135,0.999426061
136,0.966213541
137,0.933138764
138,0.918565271
139,0.965881087
140,0.974502971
141,0.95633759
142,0.956832422
143,0.958325292
144,0.984509304
145,0.931685307
146,0.979594447
147,0.998724753
148,0.933922584
149,0.958966318
150,0.869610181
151,0.917743111
152,0.954151558
153,0.985074478
154,0.958863478
155,0.952049915
156,0.998404285
157,0.965898536
158,0.958026202
159,0.957951058
160,0.999999973
161,0.942509037
162,0.952013829
163,0.957054832
164,0.994744282
165,0.990987801
166,0.979998742
