time,data
1,0.854
2,0.944
3,0.945
4,0.923
5,0.983
6,0.977
7,0.912
8,0.951
9,0.922
10,0.988
11,0.876
12,0.991
13,0.930
14,0.897
15,1.000
16,0.929
17,0.939
18,0.919
19,0.993
20,1.000
21,0.984
22,0.961
23,1.000
24,0.949
25,0.864
26,0.913
27,0.999
28,0.995
29,0.921
30,0.891
31,0.941
32,0.948
33,0.927
34,0.985
35,1.000
36,0.973
37,0.991
38,0.952
39,0.980
40,0.986
41,0.882
42,0.965
43,1.000
44,0.971
45,0.971
46,0.979
47,0.994
48,1.000
49,0.915
50,0.945
51,0.901
52,0.990
53,0.996
54,0.989
55,0.975
56,0.967
57,0.903
58,0.926
59,0.942
60,0.938
61,0.958
62,0.875
63,1.000
64,0.945
65,0.898
66,0.842
67,0.983
68,0.970
69,0.977
70,1.000
71,0.979
72,0.954
73,0.952
74,0.929
75,0.995
76,0.942
77,0.935
78,0.932
79,0.999
80,0.970
81,0.993
82,0.979
83,0.959
84,0.999
85,0.970
86,0.936
87,0.959
88,1.000
89,0.961
90,0.970
91,0.989
92,0.965
93,0.980
94,0.993
95,0.995
96,0.872
97,0.968
98,0.939
99,0.960
100,0.987
101,1.000
102,0.902
103,0.926
104,0.933
105,0.916
106,0.981
107,0.971
108,1.000
109,0.961
110,1.000
111,0.965
112,0.952
113,1.000
114,1.000
115,0.974
116,1.000
117,0.964
118,0.918
119,0.891
120,1.000
121,0.946
122,1.000
123,0.994
124,1.000
125,0.980
126,0.928
127,0.986
128,0.966
129,0.962
130,0.899
131,1.000
132,1.000
133,1.000
134,0.993
135,1.000
136,0.991
137,0.986
138,0.939
139,0.982
140,0.989
141,0.976
142,0.920
143,1.000
144,0.972
145,0.976
146,1.000
147,0.999
148,0.949
149,0.990
150,0.886
151,0.976
152,0.970
153,1.000
154,0.982
155,0.962
156,1.000
157,0.993
158,1.000
159,1.000
160,0.997
161,0.971
162,1.000
163,1.000
164,1.000
165,1.000
166,0.980
167,1.000
168,1.000
169,0.999
170,0.975
171,0.979
172,1.000
173,0.988
174,0.997
175,0.988
176,0.985
177,0.997
178,0.944
179,0.885
180,0.993
181,1.000
182,0.957
183,1.000
184,1.000
185,0.977
186,1.000
187,0.967
188,0.994
189,0.968
190,0.985
191,0.945
192,1.000
193,1.000
194,0.994
195,0.980
196,0.990
197,0.959
198,0.861
199,0.990
200,0.968
201,0.994
202,1.000
203,0.956
204,1.000
205,0.951
206,1.000
207,0.964
208,1.000
209,1.000
210,1.000
211,1.000
212,1.000
213,1.000
214,0.962
215,0.977
216,0.980
217,1.000
218,0.978
219,0.995
220,0.988
221,1.000
222,0.980
223,0.934
224,1.000
225,1.000
226,1.000
227,1.000
228,0.931
229,0.966
230,0.981
231,0.986
232,0.990
233,0.932
234,0.975
235,0.962
236,1.000
237,0.987
238,1.000
239,0.986
240,1.000
241,0.983
242,0.934
243,1.000
244,0.952
245,0.964
246,1.000
247,0.997
248,0.974
249,0.999
250,0.998
251,0.883
252,1.000
253,1.000
254,1.000
255,0.960
256,0.980
257,1.000
258,1.000
259,0.987
260,1.000
261,0.989
262,0.999
263,0.980
264,0.994
265,1.000
266,0.893
267,1.000
268,1.000
269,1.000
270,0.986
271,1.000
272,0.986
273,0.980
274,0.943
275,0.961
276,0.994
277,0.986
278,0.980
279,1.000
280,0.983
281,0.986
282,1.000
283,0.926
284,1.000
285,0.993
286,0.982
287,0.962
288,1.000
289,1.000
290,0.985
291,0.977
292,1.000
293,0.980
294,0.965
295,0.996
296,0.915
297,0.990
298,0.994
299,0.998
300,0.945
301,0.953
302,0.987
303,0.978
304,0.983
305,0.972
306,0.998
307,0.994
308,1.000
309,0.953
310,0.986
311,0.986
312,1.000
313,1.000
314,0.978
315,1.000
316,0.995
317,0.982
318,0.966
319,0.982
320,1.000
321,1.000
322,0.928
323,0.985
324,1.000
325,0.940
326,1.000
327,0.976
328,1.000
329,0.984
330,0.983
331,0.996
332,0.980
333,1.000
334,0.920
335,0.992
336,0.982
337,1.000
338,1.000
339,0.899
340,1.000
341,0.978
342,0.988
343,0.973
344,0.987
345,0.917
346,0.989
347,0.957
348,0.984
349,0.986
350,1.000
351,0.997
352,1.000
353,0.974
354,0.997
355,1.000
356,0.978
357,0.968
358,0.998
359,1.000
360,0.997
361,0.991
362,1.000
363,0.971
364,1.000
365,1.000
366,0.972
367,0.979
368,1.000
369,0.961
370,1.000
371,0.989
372,1.000
373,0.986
374,0.970
375,0.979
376,0.987
377,1.000
378,1.000
379,1.000
380,1.000
381,1.000
382,0.997
383,0.997
384,1.000
385,1.000
386,1.000
387,1.000
388,0.967
389,0.992
390,0.970
391,1.000
392,1.000
393,0.936
394,0.998
395,1.000
396,1.000
397,0.944
398,0.996
399,0.981
400,1.000
401,1.000
402,0.951
403,1.000
404,0.952
405,1.000
406,0.965
407,1.000
408,1.000
409,0.951
410,0.974
411,1.000
412,1.000
413,1.000
414,0.972
415,1.000
416,0.989
417,0.987
418,0.957
419,0.966
420,0.985
421,0.981
422,1.000
423,0.969
424,0.979
425,0.957
426,0.957
427,1.000
428,0.980
429,1.000
430,0.921
431,0.972
432,1.000
433,0.999
434,0.999
435,0.969
436,0.998
437,0.968
438,0.995
439,1.000
440,0.971
441,0.994
442,0.981
443,0.971
444,1.000
445,0.967
446,1.000
447,0.978
448,1.000
449,1.000
450,0.978
451,1.000
452,0.987
453,1.000
454,0.999
455,1.000
456,0.997
457,0.983
458,0.993
459,0.982
460,1.000
461,1.000
462,1.000
463,0.990
464,0.999
465,0.983
466,0.998
467,0.996
468,0.967
469,1.000
470,0.982
471,1.000
472,0.984
473,0.985
474,0.934
475,0.988
476,0.994
477,1.000
478,1.000
479,0.942
480,1.000
481,1.000
482,0.950
483,1.000
484,0.958
485,0.986
486,0.986
487,1.000
488,1.000
489,0.990
490,0.926
491,1.000
492,0.982
493,0.977
494,1.000
495,0.968
496,0.989
497,0.968
498,0.922
499,1.000
500,1.000
501,0.984
502,0.984
503,0.953
504,1.000
505,1.000
506,1.000
507,1.000
508,0.987
509,1.000
510,1.000
511,0.991
512,1.000
513,0.952
514,1.000
515,0.977
516,0.944
517,0.998
518,1.000
519,0.991
520,0.973
521,0.989
522,0.982
523,1.000
524,1.000
525,1.000
526,1.000
527,0.966
528,1.000
529,0.948
530,1.000
531,0.983
532,1.000
533,0.972
534,1.000
535,1.000
536,1.000
537,1.000
538,0.974
539,0.982
540,0.983
541,1.000
542,1.000
543,0.984
544,1.000
545,1.000
546,1.000
547,0.978
548,0.993
549,1.000
550,1.000
551,0.974
552,0.991
553,1.000
554,0.969
555,1.000
556,0.964
557,1.000
558,0.996
559,0.987
560,1.000
561,0.950
562,1.000
563,1.000
564,0.999
565,1.000
566,1.000
567,1.000
568,0.980
569,1.000
570,1.000
571,0.993
572,1.000
573,0.954
574,0.999
575,0.971
576,0.988
577,1.000
578,1.000
579,1.000
580,0.985
581,0.993
582,0.980
583,0.994
584,1.000
585,0.991
586,0.985
587,0.972
588,0.984
589,0.981
590,0.984
591,1.000
592,0.978
593,0.975
594,1.000
595,0.997
596,0.994
597,1.000
598,1.000
599,1.000
600,0.982
601,1.000
602,1.000
603,1.000
604,1.000
605,1.000
606,1.000
607,0.927
608,1.000
609,1.000
610,1.000
611,0.993
612,0.978
613,0.928
614,1.000
615,0.976
616,0.970
617,1.000
618,0.993
619,0.998
620,0.990
621,0.993
622,1.000
623,1.000
624,0.997
625,1.000
626,1.000
627,1.000
628,1.000
629,0.934
630,0.989
631,1.000
632,0.905
633,1.000
634,1.000
635,1.000
636,0.978
637,0.989
638,0.950
639,1.000
640,1.000
641,0.995
642,1.000
643,1.000
644,0.962
645,0.991
646,1.000
647,0.979
648,0.981
649,1.000
650,1.000
651,1.000
652,1.000
653,0.989
654,1.000
655,1.000
656,0.986
657,0.988
658,0.982
659,0.960
660,1.000
661,0.987
662,0.987
663,0.998
664,0.985
665,1.000
666,0.955
667,0.992
668,1.000
669,1.000
670,1.000
671,1.000
672,1.000
673,1.000
674,0.995
675,1.000
676,0.963
677,1.000
678,1.000
679,0.946
680,0.990
681,1.000
682,0.999
683,1.000
684,1.000
685,1.000
686,1.000
687,1.000
688,1.000
689,0.966
690,0.990
691,0.973
692,1.000
693,1.000
694,0.991
695,0.996
696,0.896
697,0.983
698,1.000
699,1.000
700,0.966
701,1.000
702,1.000
703,1.000
704,0.990
705,1.000
706,1.000
707,1.000
708,1.000
709,1.000
710,1.000
711,0.994
712,1.000
713,0.994
714,0.999
715,0.988
716,0.997
717,0.990
718,1.000
719,1.000
720,1.000
721,1.000
722,1.000
723,1.000
724,1.000
725,0.993
726,1.000
727,0.958
728,1.000
729,0.992
730,1.000
731,1.000
732,0.962
733,1.000
734,1.000
735,1.000
736,0.990
737,0.985
738,0.989
739,0.975
740,1.000
741,1.000
742,1.000
743,0.989
744,1.000
745,1.000
746,0.989
747,1.000
748,0.972
749,1.000
750,0.986
751,1.000
752,0.987
753,1.000
754,1.000
755,1.000
756,1.000
757,0.968
758,1.000
759,0.968
760,1.000
761,0.990
762,1.000
763,0.952
764,0.977
765,1.000
766,0.974
767,0.999
768,0.976
769,0.988
770,0.966
771,1.000
772,0.969
773,0.995
774,1.000
775,0.979
776,1.000
777,0.993
778,1.000
779,0.971
780,1.000
781,0.999
782,0.997
783,0.984
784,1.000
785,1.000
786,0.989
787,0.990
788,1.000
789,0.947
790,0.976
791,1.000
792,0.968
793,0.982
794,1.000
795,1.000
796,0.979
797,1.000
798,1.000
799,1.000
800,0.995
801,1.000
802,0.971
803,1.000
804,0.992
805,1.000
806,1.000
807,0.994
808,1.000
809,0.989
810,0.984
811,1.000
812,0.964
813,1.000
814,0.991
815,0.942
816,0.986
817,1.000
818,1.000
819,1.000
820,0.967
821,0.975
822,0.982
823,0.998
824,1.000
825,0.949
826,0.986
827,0.983
828,1.000
829,1.000
830,0.988
831,1.000
832,1.000
833,1.000
834,0.948
835,1.000
836,1.000
837,1.000
838,0.976
839,1.000
840,1.000
841,0.982
842,1.000
843,1.000
844,1.000
845,1.000
846,0.980
847,1.000
848,0.996
849,0.993
850,1.000
851,0.958
852,0.985
853,1.000
854,0.997
855,0.991
856,1.000
857,0.969
858,0.961
859,0.994
860,1.000
861,0.987
862,0.933
863,0.956
864,1.000
865,1.000
866,0.956
867,0.992
868,0.976
869,1.000
870,1.000
871,0.990
872,1.000
873,0.977
874,0.998
875,1.000
876,0.984
877,0.947
878,1.000
879,1.000
880,0.995
881,0.989
882,1.000
883,1.000
884,0.989
885,1.000
886,0.990
887,0.999
888,0.975
889,1.000
890,1.000
891,0.966
892,0.980
893,0.980
894,1.000
895,1.000
896,0.995
897,0.976
898,1.000
899,0.989
900,1.000
901,1.000
902,1.000
903,1.000
904,0.994
