time,data
1,0.887
2,0.972
3,0.996
4,0.927
5,0.972
6,0.956
7,0.966
8,0.960
9,0.968
10,0.947
11,0.962
12,1.000
13,0.920
14,0.938
15,0.979
16,1.000
17,0.951
18,1.000
19,0.975
20,1.000
21,0.967
22,0.961
23,1.000
24,0.978
25,0.892
26,0.936
27,1.000
28,1.000
29,0.989
30,0.944
31,0.967
32,0.983
33,0.933
34,1.000
35,1.000
36,0.993
37,0.991
38,0.964
39,0.984
40,0.959
41,0.900
42,0.977
43,0.989
44,0.996
45,0.982
46,0.978
47,1.000
48,0.973
49,0.947
50,0.934
51,0.961
52,0.977
53,1.000
54,1.000
55,0.988
56,0.989
57,0.934
58,0.965
59,0.956
60,0.965
61,0.967
62,0.936
63,1.000
64,0.921
65,0.866
66,0.868
67,0.983
68,0.974
69,0.987
70,1.000
71,0.940
72,0.961
73,0.977
74,0.954
75,0.995
76,0.951
77,0.939
78,0.868
79,0.999
80,0.977
81,0.987
82,0.980
83,0.980
84,0.985
85,0.986
86,1.000
87,0.981
88,1.000
89,0.970
90,1.000
91,1.000
92,0.984
93,0.974
94,0.993
95,0.995
96,0.908
97,0.969
98,0.939
99,0.983
100,1.000
101,1.000
102,0.981
103,1.000
104,0.883
105,0.945
106,0.980
107,0.983
108,1.000
109,0.979
110,0.989
111,0.982
112,0.972
113,0.999
114,0.995
115,0.947
116,0.993
117,0.967
118,0.897
119,0.921
120,0.981
121,0.953
122,0.975
123,0.977
124,0.995
125,0.953
126,1.000
127,0.982
128,1.000
129,0.977
130,0.955
131,0.968
132,0.992
133,1.000
134,0.993
135,1.000
136,0.991
137,1.000
138,0.951
139,0.985
140,0.975
141,0.979
142,0.993
143,1.000
144,0.972
145,0.956
146,1.000
147,0.999
148,1.000
149,0.990
150,0.870
151,0.921
152,0.996
153,0.978
154,0.952
155,0.912
156,1.000
157,0.984
158,0.987
159,1.000
160,0.979
161,0.952
162,1.000
163,0.987
164,1.000
165,0.991
166,0.991
167,1.000
168,0.985
169,0.946
170,0.982
171,0.996
172,1.000
173,0.981
174,0.984
175,0.993
176,0.963
177,1.000
178,0.940
179,0.905
180,0.993
181,0.984
182,0.959
183,1.000
184,0.993
185,0.997
186,1.000
187,1.000
188,1.000
189,0.996
190,0.990
191,0.918
192,1.000
193,0.985
194,1.000
195,1.000
196,0.990
197,0.987
198,0.899
199,0.990
200,0.985
201,0.983
202,0.980
203,0.977
204,0.985
205,0.994
206,1.000
207,0.945
208,1.000
209,0.980
210,0.989
211,0.994
212,0.997
213,1.000
214,0.973
215,0.977
216,0.982
217,1.000
218,1.000
219,0.995
220,0.988
221,1.000
222,0.980
223,0.903
224,0.986
225,1.000
226,0.991
227,1.000
228,0.953
229,0.955
230,0.994
231,0.977
232,1.000
233,0.983
234,0.979
235,0.947
236,0.964
237,0.984
238,0.981
239,1.000
240,1.000
241,0.987
242,0.996
243,0.988
244,0.988
245,1.000
246,1.000
247,0.994
248,0.989
249,0.983
250,0.995
251,0.906
252,1.000
253,1.000
254,1.000
255,0.981
256,0.933
257,1.000
258,1.000
259,0.953
260,1.000
261,1.000
262,1.000
263,1.000
264,1.000
265,1.000
266,0.863
267,1.000
268,1.000
269,0.986
270,1.000
271,0.986
272,0.981
273,1.000
274,0.992
275,0.977
276,1.000
277,0.993
278,0.994
279,0.988
280,0.989
281,0.986
282,1.000
283,0.968
284,1.000
285,0.993
286,1.000
287,0.951
288,1.000
289,0.974
290,0.989
291,1.000
292,1.000
293,1.000
294,0.986
295,0.996
296,1.000
297,1.000
298,1.000
299,1.000
300,0.945
301,0.982
302,0.987
303,1.000
304,1.000
305,1.000
306,0.998
307,0.991
308,1.000
309,0.979
310,0.987
311,0.986
312,1.000
313,0.984
314,0.991
315,1.000
316,0.995
317,1.000
318,0.972
319,1.000
320,1.000
321,1.000
322,0.919
323,0.995
324,0.991
325,0.943
326,1.000
327,1.000
328,0.985
329,0.990
330,0.980
331,0.986
332,1.000
333,0.990
334,1.000
335,0.978
336,1.000
337,1.000
338,0.984
339,0.953
340,1.000
341,1.000
342,0.992
343,1.000
344,0.987
345,0.927
346,0.999
347,0.960
348,1.000
349,0.984
350,0.993
351,1.000
352,1.000
353,0.961
354,0.997
355,0.997
356,0.935
357,0.964
358,1.000
359,1.000
360,1.000
361,1.000
362,1.000
363,0.993
364,1.000
365,0.996
366,0.995
367,1.000
368,0.999
369,0.937
370,1.000
371,0.997
372,1.000
373,1.000
374,0.988
375,0.977
376,1.000
377,1.000
378,1.000
379,1.000
380,1.000
381,1.000
382,0.997
383,0.988
384,0.991
385,0.991
386,0.988
387,1.000
388,0.996
389,1.000
390,0.981
391,1.000
392,1.000
393,0.971
394,0.998
395,1.000
396,1.000
397,1.000
398,0.996
399,1.000
400,1.000
401,1.000
402,0.940
403,1.000
404,0.952
405,1.000
406,0.763
407,1.000
408,0.990
409,0.922
410,0.960
411,1.000
412,0.990
413,0.994
414,0.996
415,1.000
416,0.989
417,0.997
418,1.000
419,0.990
420,1.000
421,0.991
422,1.000
423,0.969
424,1.000
425,0.959
426,0.974
427,1.000
428,0.998
429,1.000
430,0.901
431,0.982
432,1.000
433,1.000
434,0.999
435,0.963
436,0.998
437,0.962
438,1.000
439,1.000
440,1.000
441,1.000
442,0.963
443,1.000
444,1.000
445,1.000
446,0.990
447,1.000
448,1.000
449,0.989
450,0.997
451,1.000
452,1.000
453,1.000
454,0.999
455,1.000
456,0.997
457,1.000
458,1.000
459,1.000
460,1.000
461,1.000
462,1.000
463,1.000
464,0.999
465,0.993
466,1.000
467,1.000
468,0.961
469,1.000
470,0.982
471,1.000
472,1.000
473,0.985
474,0.962
475,0.988
476,1.000
477,1.000
478,1.000
479,1.000
480,1.000
481,0.987
482,0.947
483,1.000
484,0.957
485,0.986
486,0.985
487,0.984
488,1.000
489,0.982
490,0.951
491,1.000
492,0.982
493,0.984
494,1.000
495,0.916
496,0.989
497,0.914
498,0.971
499,1.000
500,1.000
501,0.956
502,0.984
503,0.974
504,1.000
505,0.992
506,0.994
507,1.000
508,1.000
509,1.000
510,0.993
511,0.991
512,1.000
513,1.000
514,0.986
515,0.977
516,0.927
517,1.000
518,0.986
519,1.000
520,0.943
521,1.000
522,1.000
523,1.000
524,0.958
525,1.000
526,1.000
527,0.999
528,1.000
529,1.000
530,1.000
531,0.976
532,1.000
533,1.000
534,1.000
535,1.000
536,1.000
537,1.000
538,0.971
539,1.000
540,1.000
541,1.000
542,1.000
543,1.000
544,1.000
545,1.000
546,1.000
547,1.000
548,1.000
549,1.000
550,0.987
551,0.994
552,0.984
553,1.000
554,0.972
555,1.000
556,0.967
557,1.000
558,0.984
559,1.000
560,1.000
561,0.921
562,0.989
563,1.000
564,0.966
565,1.000
566,1.000
567,1.000
568,1.000
569,0.984
570,1.000
571,0.963
572,1.000
573,0.947
574,0.999
575,0.971
576,1.000
577,1.000
578,1.000
579,1.000
580,0.972
581,0.991
582,0.987
583,1.000
584,1.000
585,1.000
586,1.000
587,1.000
588,0.984
589,1.000
590,0.984
591,1.000
592,1.000
593,0.990
594,1.000
595,0.997
596,1.000
597,1.000
598,1.000
599,0.976
600,1.000
601,1.000
602,1.000
603,1.000
604,1.000
605,1.000
606,0.987
607,0.967
608,1.000
609,1.000
610,1.000
611,0.993
612,1.000
613,0.981
614,1.000
615,1.000
616,0.996
617,1.000
618,0.997
619,0.998
620,0.990
621,0.993
622,1.000
623,1.000
624,1.000
625,1.000
626,1.000
627,0.999
628,1.000
629,0.962
630,0.994
631,1.000
632,0.879
633,1.000
634,0.994
635,1.000
636,0.934
637,0.989
638,1.000
639,0.960
640,1.000
641,0.986
642,1.000
643,1.000
644,0.973
645,0.987
646,1.000
647,0.995
648,1.000
649,1.000
650,0.941
651,1.000
652,1.000
653,1.000
654,1.000
655,0.986
656,1.000
657,1.000
658,1.000
659,0.960
660,1.000
661,1.000
662,1.000
663,1.000
664,1.000
665,1.000
666,0.883
667,0.983
668,0.971
669,1.000
670,0.997
671,1.000
672,1.000
673,0.997
674,1.000
675,1.000
676,1.000
677,1.000
678,1.000
679,0.946
680,0.993
681,1.000
682,0.999
683,1.000
684,1.000
685,1.000
686,1.000
687,1.000
688,1.000
689,0.997
690,0.990
691,0.973
692,1.000
693,1.000
694,0.991
695,1.000
696,0.938
697,0.976
698,1.000
699,1.000
700,1.000
701,1.000
702,0.990
703,1.000
704,0.984
705,1.000
706,1.000
707,1.000
708,1.000
709,1.000
710,1.000
711,0.994
712,1.000
713,0.994
714,0.999
715,1.000
716,0.953
717,1.000
718,1.000
719,0.995
720,1.000
721,1.000
722,1.000
723,1.000
724,1.000
725,0.932
726,1.000
727,0.970
728,1.000
729,0.995
730,1.000
731,1.000
732,1.000
733,0.992
734,1.000
735,1.000
736,1.000
737,1.000
738,0.977
739,0.970
740,1.000
741,0.949
742,1.000
743,1.000
744,1.000
745,1.000
746,0.988
747,0.985
748,1.000
749,1.000
750,0.986
751,0.993
752,0.987
753,1.000
754,1.000
755,1.000
756,1.000
757,0.966
758,1.000
759,0.981
760,0.981
761,1.000
762,1.000
763,0.950
764,1.000
765,1.000
766,0.974
767,1.000
768,1.000
769,1.000
770,0.971
771,1.000
772,1.000
773,1.000
774,1.000
775,0.979
776,1.000
777,0.986
778,1.000
779,1.000
780,1.000
781,1.000
782,0.997
783,1.000
784,1.000
785,1.000
786,1.000
787,0.990
788,1.000
789,0.955
790,0.971
791,1.000
792,0.953
793,1.000
794,1.000
795,0.963
796,0.985
797,1.000
798,1.000
799,1.000
800,0.995
801,1.000
802,0.987
803,1.000
804,1.000
805,1.000
806,0.986
807,0.994
808,1.000
809,0.999
810,0.993
811,0.998
812,0.976
813,1.000
814,1.000
815,1.000
816,0.992
817,1.000
818,1.000
819,1.000
820,0.989
821,1.000
822,1.000
823,0.998
824,1.000
825,0.949
826,0.993
827,0.989
828,1.000
829,1.000
830,1.000
831,1.000
832,1.000
833,1.000
834,1.000
835,1.000
836,1.000
837,1.000
838,0.989
839,1.000
840,1.000
841,1.000
842,1.000
